Id,Code,Description
204,2573,Fabricarea uneltelor
205,2591,Fabricarea de recipienti
206,2592,Fabricarea ambalajelor usoare din metal
207,2593,Fabricarea articolelor din fire metalice; fabricarea de lanturi si arcuri
208,2594,Fabricarea de suruburi
209,2599,Fabricarea altor articole din metal n.c.a.
210,2611,Fabricarea subansamblurilor electronice (module
211,2612,Fabricarea altor componente electronice
212,2620,Fabricarea calculatoarelor si a echipamentelor periferice
213,2630,Fabricarea echipamentelor de comunicatii
214,2640,Fabricarea produselor electronice de larg consum
215,2651,Fabricarea de instrumente si dispozitive pentru masura
216,2652,Productia de ceasuri
217,2660,Fabricarea de echipamente pentru radiologie
218,2670,Fabricarea de instrumente optice si echipamente fotografice
219,2680,Fabricarea suporturilor  magnetice si optice destinate inregistrarilor
220,2711,Fabricarea motoarelor
221,2712,Fabricarea aparatelor de control si distributie a electricitatii
222,2720,Fabricarea de acumulatori si baterii
223,2731,Fabricarea de cabluri cu fibra optica
224,2732,Fabricarea altor fire si cabluri electrice si electrocasnice
225,2733,Fabricarea dispozitivelor de conexiune pentru fire si cabluri electrice si electronice
226,2740,Fabricarea de echipamente electrice de iluminat
227,2751,Fabricarea de aparate electrocasnice
228,2752,Fabricarea de echipamente casnice neelectrice
229,2790,Fabricarea altor echipamente electrice
230,2811,Fabricarea de motoare si turbine (cu exceptia celor pentru avioane
231,2812,Fabricarea de motoare hidraulice
232,2813,Fabricarea de pompe si compresoare
233,2814,Fabricarea de articole de robinetarie
234,2815,Fabricarea lagarelor
235,2821,Fabricarea cuptoarelor
236,2822,Fabricarea echipamentelor de ridicat si manipulat
237,2823,Fabricarea masinilor si echipamentelor de birou (exclusiv fabricarea calculatoarelor si a echipamentelor periferice
238,2824,Fabricarea masinilor-unelte portabile actionate electric
239,2825,Fabricarea ehipamentelor de ventilatie si frigorifice
240,2829,Fabricarea altor masini si utilaje de utilizare generala n.c.a.
241,2830,Fabricarea masinilor si utilajelor pentru agricultura si exploatari forestiere
242,2841,Fabricarea utilajelor si a masinilor-unelte pentru prelucrarea metalului
243,2849,Fabricarea altor masini-unelte n.c.a.
244,2891,Fabricarea utilajelor pentru metalurgie
245,2892,Fabricarea utilajelor pentru extractie si constructii
246,2893,Fabricarea utilajelor pentru prelucrarea produselor alimentare
