2511,Fabricarea  de  construcţii  metalice  şi  părţi  componente  ale structurilor metalice,30600,30600,30600,30600
2512,Fabricarea de uşi şi ferestre din metal,30600,30600,30600,30600
2571,Fabricarea produselor de tăiat,30600,30600,30600,30600
2572,Fabricarea articolelor de feronerie,30600,30600,30600,30600
2573,Fabricarea uneltelor,30600,30600,30600,30600
2594,"Fabricarea   de   şuruburi,   buloane   şi   alte   articole   filetate; fabricarea de nituri şi şaibe",30600,30600,30600,30600
2599,Fabricarea altor articole din metal n.c.a.,30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
2332,"Fabricarea   cărămizilor,   ţiglelor   şi   altor   produse   pentru construcţii, din argilă arsă",30600,30600,30600,30600
2361,Fabricarea produselor din beton pentru construcţii,34040,32540,31240,30600
2362,Fabricarea produselor din ipsos pentru construcţii,30600,30600,30600,30600
2369,"Fabricarea altor articole din beton, ciment şi ipsos",30600,30600,30600,30600
2370,"Tăierea, fasonarea şi finisarea pietrei",30600,30600,30600,30600
4673,Comerţ cu ridicata al materialului lemnos şi al materialelor de construcţii şi echipamentelor sanitare,32640,31640,31640,31640
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
1512,Fabricarea articolelor de voiaj şi marochinărie şi a articolelor de harnaşament,30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
1420,Fabricarea articolelor din blană,30600,30600,30600,30600
9529,Repararea articolelor de uz personal şi gospodăresc n.c.a.,30600,30600,30600,30600
3212,Fabricarea bijuteriilor şi articolelor similare din metale şi pietre preţioase,30600,30600,30600,30600
9525,Repararea ceasurilor şi a bijuteriilor,30600,30600,30600,30600
3213,Fabricarea imitaţiilor de bijuterii şi articole similare,30600,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
1392,Fabricarea  de  articole  confecţionate  din  textile  (cu  excepţia îmbrăcămintei şi lenjeriei de corp),30600,30600,30600,30600
1399,Fabricarea altor articole textile n.c.a.,30600,30600,30600,30600
1419,Fabricarea altor articole de îmbrăcăminte şi accesorii n.c.a.,30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
1629,"Fabricarea  altor  produse  din  lemn;  fabricarea  articolelor  din plută, paie şi din alte materiale vegetale împletite",30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
1512,Fabricarea articolelor de voiaj şi marochinărie şi a articolelor de harnaşament,30600,30600,30600,30600
9523,Repararea încălţămintei şi a articolelor din piele,30600,30600,30600,30600
3220,Fabricarea instrumentelor muzicale,30600,30600,30600,30600
9529,Repararea articolelor de uz personal şi gospodăresc n.c.a.,30600,30600,30600,30600
3291,Fabricarea măturilor şi periilor,30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
3230,Fabricarea articolelor pentru sport,30600,30600,30600,30600
3299,Fabricarea altor produse manufacturiere n.c.a.,30600,30600,30600,30600
4778,"Comerţ   cu   amănuntul   al   altor   bunuri   noi,   în   magazine specializate",31240,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
3011,Construcţia de nave şi structuri plutitoare,31240,30600,30600,30600
3012,Construcţia de ambarcaţiuni sportive si de agrement,31240,30600,30600,30600
3315,Repararea şi întreţinerea navelor si bărcilor,31240,30600,30600,30600
1812,Alte activitati de tipărire n.c.a.,30600,30600,30600,30600
8219,"Activităţi de  fotocopiere,  de pregătire a documentelor şi  alte activităţi specializate de secretariat",30600,30600,30600,30600
0321,Acvacultura maritimă,31240,30600,30600,30600
0322,Acvacultura în ape dulci,31240,30600,30600,30600
4776,"Comerţ cu amănuntul al florilor, plantelor şi seminţelor;comerţ cu  amănuntul al animalelor  de companie şi  al  hranei  pentru acestea, în magazine specializate",30600,30600,30600,30600
4789,"Comerţ cu amănuntul prin standuri, chioşcuri şi pieţe al altor produse",30600,30600,30600,30600
1412,Fabricarea articolelor de îmbrăcăminte pentru lucru,30600,30600,30600,30600
1413,Fabricarea altor articole de îmbrăcăminte (exclusiv lenjeria de corp),30600,30600,30600,30600
1414,Fabricarea de articole de lenjerie de corp,30600,30600,30600,30600
1419,Fabricarea altor articole de îmbrăcăminte şi accesorii n.c.a.,30600,30600,30600,30600
9529,Repararea articolelor de uz personal şi gospodăresc n.c.a.,30600,30600,30600,30600
8211,Activităţi combinate de secretariat,30600,30600,30600,30600
8219,"Activităţi de  fotocopiere,  de pregătire a documentelor şi  alte activităţi specializate de secretariat",30600,30600,30600,30600
8299,Alte activităţi de servicii suport pentru întreprinderi n.c.a.,32640,31640,30600,30600
1310,Pregătirea fibrelor şi filarea fibrelor textile,30600,30600,30600,30600
9609,Alte activităţi de servicii n.c.a,30600,30600,30600,30600
3831,Demontarea  (dezasamblarea)  maşinilor  şi  a  echipamentelor scoase din uz pentru recuperarea materialelor,30600,30600,30600,30600
4677,Comerţ cu ridicata al deşeurilor şi resturilor,30600,30600,30600,30600
1624,Fabricarea ambalajelor de lemn,30600,30600,30600,30600
9529,Repararea articolelor de uz personal şi gospodăresc n.c.a.,30600,30600,30600,30600
0162,Activităţi auxiliare pentru creşterea animalelor,30600,30600,30600,30600
9329,Alte activităţi recreative şi distractive n.c.a.,30600,30600,30600,30600
9609,Alte activităţi de servicii n.c.a.,30600,30600,30600,30600
1623,"Fabricarea  altor  elemente  de  dulgherie  şi  tâmplărie,  pentru construcţii",31640,31640,31640,31640
4332,Lucrări de tâmplărie şi dulgherie,32440,31140,30600,30600
0811,"Extracţia  pietrei  ornamentale  şi  a  pietrei  pentru  construcţii, extracţia pietrei calcaroase, ghipsului, cretei şi a ardeziei",30600,30600,30600,30600
0812,Extracţia pietrişului şi nisipului; extracţia argilei şi caolinului,30600,30600,30600,30600
1051,Fabricarea produselor lactate şi a brânzeturilor,31640,31640,31640,31640
3600,"Captarea, tratarea şi distribuţia apei",30600,30600,30600,30600
4221,Lucrări de construcţii a proiectelor utilitare pentru fluide,30600,30600,30600,30600
